paper_table,category,model,asset,metric,paper_value,native_reproduced_value,status,paper_result_credit
Table 4,RLM,O4-mini,META,CR_pct,-0.45,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,META,SR,-0.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,META,HR_pct,53.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,META,MDD_pct,2.68,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,SPY,CR_pct,-0.30,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,SPY,SR,-1.34,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,SPY,HR_pct,36.8,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,RLM,O4-mini,SPY,MDD_pct,1.72,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,NVDA,CR_pct,7.42,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,NVDA,SR,2.72,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,NVDA,HR_pct,72.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,NVDA,MDD_pct,2.01,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,AAPL,CR_pct,-2.37,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,AAPL,SR,-1.27,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,AAPL,HR_pct,45.2,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,AAPL,MDD_pct,5.20,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,MSFT,CR_pct,-0.24,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,MSFT,SR,-0.64,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,MSFT,HR_pct,56.1,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Supervise Finetune,MSFT,MDD_pct,3.87,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,AMZN,CR_pct,1.93,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,AMZN,SR,0.36,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,AMZN,HR_pct,60.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,AMZN,MDD_pct,4.28,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,META,CR_pct,2.52,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,META,SR,0.54,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,META,HR_pct,55.9,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,META,MDD_pct,2.93,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,SPY,CR_pct,1.78,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,SPY,SR,0.86,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,SPY,HR_pct,58.1,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Supervise Finetune,SPY,MDD_pct,1.15,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,NVDA,CR_pct,3.27,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,NVDA,SR,1.25,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,NVDA,HR_pct,62.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,NVDA,MDD_pct,2.73,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,AAPL,CR_pct,4.04,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,AAPL,SR,1.14,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,AAPL,HR_pct,57.1,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,AAPL,MDD_pct,3.02,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,MSFT,CR_pct,-0.18,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,MSFT,SR,-0.81,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,MSFT,HR_pct,45.7,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Reinforcement Learning,MSFT,MDD_pct,1.66,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,AMZN,CR_pct,-0.05,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,AMZN,SR,-0.29,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,AMZN,HR_pct,52.5,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,AMZN,MDD_pct,4.84,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,META,CR_pct,-0.18,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,META,SR,-0.36,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,META,HR_pct,44.4,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,META,MDD_pct,5.11,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,SPY,CR_pct,1.85,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,SPY,SR,1.00,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,SPY,HR_pct,67.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Reinforcement Learning,SPY,MDD_pct,0.69,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,NVDA,CR_pct,8.08,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,NVDA,SR,2.72,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,NVDA,HR_pct,70.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,NVDA,MDD_pct,3.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,AAPL,CR_pct,5.82,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,AAPL,SR,1.80,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,AAPL,HR_pct,63.6,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,AAPL,MDD_pct,3.68,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,MSFT,CR_pct,2.38,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,MSFT,SR,0.87,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,MSFT,HR_pct,60.4,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 3,Ours,Trading-R1,MSFT,MDD_pct,1.90,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,AMZN,CR_pct,5.39,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,AMZN,SR,1.72,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,AMZN,HR_pct,63.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,AMZN,MDD_pct,3.20,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,META,CR_pct,5.12,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,META,SR,0.86,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,META,HR_pct,50.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,META,MDD_pct,4.65,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,SPY,CR_pct,3.34,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,SPY,SR,1.60,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,SPY,HR_pct,64.0,,not_reproduced_official_code_model_data_and_predictions_not_released,False
Table 4,Ours,Trading-R1,SPY,MDD_pct,1.52,,not_reproduced_official_code_model_data_and_predictions_not_released,False
